station,departures,arrivals,net_outflow,net_outflow_pct
Lincoln Ave & Melrose St,8518,9073,-555,-3.2
Clark St & Berwyn Ave,8851,9408,-557,-3.1
Cannon Dr & Fullerton Ave,5616,6174,-558,-4.7
Clark St & Lincoln Ave,21902,22461,-559,-1.3
Sheffield Ave & Webster Ave,12374,12939,-565,-2.2
Pine Grove Ave & Waveland Ave,15187,15753,-566,-1.8
Damen Ave & Pierce Ave,16070,16671,-601,-1.8
Morgan St & Lake St*,10762,11375,-613,-2.8
Bissell St & Armitage Ave*,11832,12452,-620,-2.6
Broadway & Belmont Ave,12159,12781,-622,-2.5
Millennium Park,30245,30868,-623,-1.0
DuSable Lake Shore Dr & Diversey Pkwy,18318,18946,-628,-1.7
Broadway & Barry Ave,20282,20998,-716,-1.7
Green St & Washington Blvd,7143,7869,-726,-4.8
Greenview Ave & Fullerton Ave,7325,8052,-727,-4.7
Daley Center Plaza,19894,20716,-822,-2.0
Halsted St & Dickens Ave,11470,12338,-868,-3.6
Wood St & Milwaukee Ave,10445,11317,-872,-4.0
Damen Ave & Chicago Ave,8491,9366,-875,-4.9
Theater on the Lake,27208,28143,-935,-1.7
Wentworth Ave & Cermak Rd*,4767,5704,-937,-8.9
Franklin St & Monroe St,12012,13005,-993,-4.0
Lincoln Park Conservatory,11902,12920,-1018,-4.1
Clark St & Drummond Pl,15523,16584,-1061,-3.3
Clark St & Newport St,14458,15666,-1208,-4.0
Sangamon St & Lake St,9828,11367,-1539,-7.3
Streeter Dr & Grand Ave,61666,63251,-1585,-1.3
Sheffield Ave & Waveland Ave,14300,17724,-3424,-10.7
DuSable Lake Shore Dr & North Blvd,36361,39942,-3581,-4.7
